text,amount,currency,recipient,bill_type,intent
سدد فاتورة الكهرباء,,,,الكهرباء,pay_bill
قم بدفع فاتورة الكهرباء,,,,الكهرباء,pay_bill
ادفع قيمة فاتورة الكهرباء,,,,الكهرباء,pay_bill
قم بسداد فاتورة الكهرباء,,,,الكهرباء,pay_bill
سدد مستحقات الكهرباء,,,,الكهرباء,pay_bill
سدد فاتورة المياه,,,,المياه,pay_bill
قم بدفع فاتورة الماء,,,,الماء,pay_bill
ادفع مستحقات المياه,,,,المياه,pay_bill
قم بسداد فاتورة الماء,,,,الماء,pay_bill
سدد قيمة فاتورة المياه,,,,المياه,pay_bill
ادفع فاتورة الإنترنت,,,,الإنترنت,pay_bill
قم بسداد فاتورة الإنترنت,,,,الإنترنت,pay_bill
سدد قيمة فاتورة الإنترنت,,,,الإنترنت,pay_bill
قم بدفع فاتورة الإنترنت,,,,الإنترنت,pay_bill
سدد مستحقات الإنترنت,,,,الإنترنت,pay_bill
سدد فاتورة الهاتف,,,,الهاتف,pay_bill
قم بدفع فاتورة الهاتف,,,,الهاتف,pay_bill
ادفع قيمة فاتورة الهاتف,,,,الهاتف,pay_bill
قم بسداد فاتورة الهاتف,,,,الهاتف,pay_bill
سدد مستحقات الهاتف,,,,الهاتف,pay_bill
سدد فاتورة الغاز,,,,الغاز,pay_bill
قم بدفع فاتورة الغاز,,,,الغاز,pay_bill
ادفع قيمة فاتورة الغاز,,,,الغاز,pay_bill
قم بسداد فاتورة الغاز,,,,الغاز,pay_bill
سدد مستحقات الغاز,,,,الغاز,pay_bill
قم بسداد رسوم الجامعة,,,الجامعة,رسوم,pay_bill
سدد التكاليف الجامعية,,,الجامعة,التكاليف,pay_bill
قم بدفع مستحقات الجامعة,,,الجامعة,مستحقات,pay_bill
أتمم سداد الرسوم الجامعية,,,الجامعة,الرسوم,pay_bill
سدد المصاريف الجامعية,,,الجامعة,المصاريف,pay_bill
ادفع فاتورة الماء المتراكمة,,,,الماء,pay_bill
سدد فواتير المياه المتأخرة,,,,المياه,pay_bill
سدد المبالغ المستحقة للمياه,,,,المياه,pay_bill
ادفع مستحقات المياه المتأخرة,,,,المياه,pay_bill
سدد فاتورة المياه غير المسددة,,,,المياه,pay_bill
